"","BirdID","Bin","Stimulus","Correct","Cohort"
"1","294",0,"NO-GO",1,"Leiden"
"2","294",0,"GO",0,"Leiden"
"3","294",0,"NO-GO",1,"Leiden"
"4","294",0,"GO",0,"Leiden"
"5","294",0,"GO",1,"Leiden"
"6","294",0,"GO",0,"Leiden"
"7","294",0,"NO-GO",1,"Leiden"
"8","294",0,"GO",1,"Leiden"
"9","294",0,"NO-GO",0,"Leiden"
"10","294",0,"NO-GO",0,"Leiden"
"11","294",0,"GO",0,"Leiden"
"12","294",0,"GO",1,"Leiden"
"13","294",0,"GO",1,"Leiden"
"14","294",0,"NO-GO",0,"Leiden"
"15","294",0,"NO-GO",0,"Leiden"
"16","294",0,"NO-GO",1,"Leiden"
"17","294",0,"NO-GO",1,"Leiden"
"18","294",0,"GO",0,"Leiden"
"19","294",0,"GO",0,"Leiden"
"20","294",0,"NO-GO",1,"Leiden"
"21","294",0,"NO-GO",1,"Leiden"
"22","294",0,"NO-GO",1,"Leiden"
"23","294",0,"GO",0,"Leiden"
"24","294",0,"NO-GO",1,"Leiden"
"25","294",0,"GO",0,"Leiden"
"26","294",0,"NO-GO",1,"Leiden"
"27","294",0,"GO",0,"Leiden"
"28","294",0,"NO-GO",1,"Leiden"
"29","294",0,"NO-GO",1,"Leiden"
"30","294",0,"NO-GO",1,"Leiden"
"31","294",0,"GO",0,"Leiden"
"32","294",0,"GO",0,"Leiden"
"33","294",0,"NO-GO",0,"Leiden"
"34","294",0,"NO-GO",0,"Leiden"
"35","294",0,"NO-GO",1,"Leiden"
"36","294",0,"NO-GO",1,"Leiden"
"37","294",0,"GO",0,"Leiden"
"38","294",0,"GO",0,"Leiden"
"39","294",0,"GO",0,"Leiden"
"40","294",0,"NO-GO",1,"Leiden"
"41","294",0,"GO",0,"Leiden"
"42","294",0,"GO",0,"Leiden"
"43","294",0,"GO",0,"Leiden"
"44","294",0,"GO",0,"Leiden"
"45","294",0,"GO",0,"Leiden"
