Time,Subject,Behavior,Day,Media total length,Condition,Song,Period
58.336,UNB12_15_16,Preen,1,2411.3,NOGO,B,Pre
109.426,UNB12_15_16,Call,1,2411.3,NOGO,B,Pre
113.499,UNB12_15_16,Preen,1,2411.3,NOGO,B,Pre
119.665,UNB12_15_16,Call,1,2411.3,NOGO,B,Pre
121.702,UNB12_15_16,Call,1,2411.3,NOGO,B,Pre
127.309,UNB12_15_16,Poke,1,2411.3,NOGO,B,Pre
130.374,UNB12_15_16,Call,1,2411.3,NOGO,B,Pre
141.366,UNB12_15_16,Poke,1,2411.3,NOGO,B,Pre
152.101,UNB12_15_16,Preen,1,2411.3,NOGO,B,Pre
234.862,UNB12_15_16,Call,1,2411.3,NOGO,B,Pre
610.675,UNB12_15_16,Freeze,1,2411.3,NOGO,B,During
687.999,UNB12_15_16,Preen,1,2411.3,NOGO,B,During
692.365,UNB12_15_16,Puff,1,2411.3,NOGO,B,During
698.471,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
699.001,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
699.501,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
700.004,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
700.534,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
701.301,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
711.266,UNB12_15_16,Call,1,2411.3,NOGO,B,During
714.569,UNB12_15_16,Puff,1,2411.3,NOGO,B,During
715.098,UNB12_15_16,Call,1,2411.3,NOGO,B,During
717.133,UNB12_15_16,Call,1,2411.3,NOGO,B,During
719.169,UNB12_15_16,Call,1,2411.3,NOGO,B,During
719.935,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
720.2,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
720.701,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
722.503,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
725.303,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
727.101,UNB12_15_16,Alarm,1,2411.3,NOGO,B,During
731.7,UNB12_15_16,Call,1,2411.3,NOGO,B,During
733.999,UNB12_15_16,Scoot,1,2411.3,NOGO,B,During
734.503,UNB12_15_16,Call,1,2411.3,NOGO,B,During
735.509,UNB12_15_16,Call,1,2411.3,NOGO,B,During
736.533,UNB12_15_16,Call,1,2411.3,NOGO,B,During
