BirdID,Level,SlideNum,SlideID,ROI,Condition,SongID,Area,Mean,StdDev,Min,Max,Median,Skew,Kurt,WholeMed
308,lateral,9A,i2j2.tif,l,Go,11,143811.821,196.917,13.809,32,249,198,0.908,-63.394,196
308,lateral,9A,i2j2.tif,cmm,Go,11,360122.331,175.545,33.52,13,243,187,-2.153,4.814,196
308,lateral,9A,i2j2.tif,dncm,Go,11,359656.194,182.028,31.165,21,252,192,-2.454,6.546,196
308,lateral,9A,i2j2.tif,vncm,Go,11,359989.502,185.039,28.505,18,245,193,-2.726,8.223,196
308,lateral,9A,i2j2.tif,cncm,Go,11,359870.699,189.897,26.986,22,251,197,-2.97,9.815,196
308,lateral,9A,i2j2.tif,whole,Go,11,22470291.626,190.162,26.629,12,255,196,-2.364,7.223,196
295,lateral,1A,i2j2.tif,l,Go,65,114760.37,206.311,17.798,55,253,207,-1.232,13.385,203
295,lateral,1A,i2j2.tif,cmm,Go,65,360072.83,194.81,28.716,19,253,201,-2.364,7.017,203
295,lateral,1A,i2j2.tif,dncm,Go,65,359954.852,194.568,30.498,19,252,202,-2.581,7.907,203
295,lateral,1A,i2j2.tif,vncm,Go,65,360076.13,198.493,27.181,17,253,204,-2.618,8.931,203
295,lateral,1A,i2j2.tif,cncm,Go,65,359917.726,201.614,25.527,12,252,207,-3.019,8.632,203
295,lateral,1A,i2j2.tif,whole,Go,65,23657526.016,198.067,27.852,12,255,203,-2.183,6.664,203
310,lateral,6B,i1j2.tif,l,Go,61,114795.021,206.632,12.979,30,250,208,-1.516,-1.848,206
310,lateral,6B,i1j2.tif,cmm,Go,61,360072.83,179.109,37.014,15,251,192,-2.157,4.544,206
310,lateral,6B,i1j2.tif,dncm,Go,61,359838.524,191.85,31.112,21,253,201,-2.665,7.77,206
310,lateral,6B,i1j2.tif,vncm,Go,61,360076.13,174.5,39.133,16,250,188,-2.008,3.742,206
310,lateral,6B,i1j2.tif,cncm,Go,61,360200.708,188.605,32.395,18,253,198,-2.765,8.545,206
310,lateral,6B,i1j2.tif,whole,Go,61,16279937.421,198.542,27.091,12,254,206,-3.263,12.961,206
4439,lateral,5A,i2j1.tif,l,Go,143,114865.973,208.066,9.27,34,242,209,-4.822,16.615,209
4439,lateral,5A,i2j1.tif,cmm,Go,143,360072.83,195.069,30.664,18,251,205,-2.825,8.267,209
4439,lateral,5A,i2j1.tif,dncm,Go,143,360385.512,201.106,23.742,26,251,208,-3.359,10.924,209
4439,lateral,5A,i2j1.tif,vncm,Go,143,360310.435,205.213,17.706,37,254,209,-4.186,12.988,209
4439,lateral,5A,i2j1.tif,cncm,Go,143,360259.284,201.259,25.338,30,254,209,-3.1,9.798,209
4439,lateral,5A,i2j1.tif,whole,Go,143,23824954.878,204,22.282,12,255,209,-3.726,16.301,209
4620,lateral,5A,i1j2.tif,l,Go,14,114884.948,201.605,13.989,31,252,203,1.175,-76.223,201
4620,lateral,5A,i1j2.tif,cmm,Go,14,360277.435,187.647,33.616,19,254,199,-2.509,6.28,201
4620,lateral,5A,i1j2.tif,dncm,Go,14,359742.821,190.416,33.428,21,251,201,-2.863,8.317,201
4620,lateral,5A,i1j2.tif,vncm,Go,14,360265.884,193.695,27.752,22,240,201,-3.468,13.237,201
4620,lateral,5A,i1j2.tif,cncm,Go,14,360096.755,198.886,25.592,17,254,205,-4.268,21.158,201
4620,lateral,5A,i1j2.tif,whole,Go,14,20629781.974,192.861,28.978,13,255,201,-2.916,10.168,201
298,lateral,11A,i1j2.tif,l,NoGo,65,114910.524,207.828,10.619,110,246,208,1.323,-69.035,204
298,lateral,11A,i1j2.tif,cmm,NoGo,65,359795.623,192.187,24.006,37,240,199,-2.263,5.211,204
298,lateral,11A,i1j2.tif,dncm,NoGo,65,360323.636,211.311,15.858,62,247,215,0.107,-60.588,204
298,lateral,11A,i1j2.tif,vncm,NoGo,65,359913.601,190.722,24.338,37,250,196,-2.292,7.086,204
298,lateral,11A,i1j2.tif,cncm,NoGo,65,360221.333,212.587,16.749,40,252,216,-3.09,5.258,204
298,lateral,11A,i1j2.tif,whole,NoGo,65,22315385.752,200.577,21.344,23,255,204,-1.87,3.893,204
311,lateral,6A,i1j2_2.tif,l,NoGo,11,114853.597,208.487,12.193,68,253,209,2.323,-76.875,209
311,lateral,6A,i1j2_2.tif,cmm,NoGo,11,359864.924,199.08,24.677,22,254,205,-2.467,4.894,209
311,lateral,6A,i1j2_2.tif,dncm,NoGo,11,360359.937,203.293,22.784,22,253,208,-3.011,9.183,209
311,lateral,6A,i1j2_2.tif,vncm,NoGo,11,360147.906,199.803,23.254,22,253,205,-2.627,4.826,209
311,lateral,6A,i1j2_2.tif,cncm,NoGo,11,359706.52,204.761,19.827,26,253,208,-2.727,4.413,209
311,lateral,6A,i1j2_2.tif,whole,NoGo,11,18562714.232,203.545,21.689,16,254,209,-2.872,7.789,209
313,lateral,9A,i1j2_1.tif,l,NoGo,61,114861.847,204.415,13.737,41,253,206,-0.112,-23.196,202
313,lateral,9A,i1j2_1.tif,cmm,NoGo,61,359868.224,185.595,30.434,21,253,195,-2.168,4.571,202
313,lateral,9A,i1j2_1.tif,dncm,NoGo,61,360272.485,191.731,28.965,21,253,200,-2.633,7.088,202
313,lateral,9A,i1j2_1.tif,vncm,NoGo,61,359817.073,192.929,27.732,23,253,201,-2.723,7.544,202
